city,val0,val1,val2,val3,val4,val5,val6,val7,val8,val9,sat0,sat1,sat2,sat3,sat4,sat5,sat6,sat7,sat8,sat9,hue0,hue1,hue2,hue3,hue4,hue5,hue6,hue7,year
Dar es Salaam,0.0621761658031,0.111398963731,0.10621761658,0.10103626943,0.0777202072539,0.132124352332,0.132124352332,0.119170984456,0.0569948186528,0.10103626943,0.248704663212,0.173575129534,0.147668393782,0.152849740933,0.0932642487047,0.059585492228,0.0492227979275,0.0259067357513,0.020725388601,0.0284974093264,0.256476683938,0.227979274611,0.0829015544041,0.0880829015544,0.080310880829,0.204663212435,0.0181347150259,0.0414507772021,2012
Almaty,0.0683194004036,0.0762467569905,0.0922456039204,0.0959930815797,0.102479100605,0.106370712021,0.0988757567022,0.10305563563,0.103488036898,0.152925915249,0.26189103488,0.160565004324,0.138224272125,0.119631017584,0.104208705679,0.0713462092822,0.0582300374748,0.0430959930816,0.0269530123955,0.0158547131738,0.255837417123,0.254540213318,0.0773998270395,0.107091380801,0.0576535024503,0.18564427789,0.020611127126,0.0412222542519,2012
Bogota,0.101714898178,0.104587352626,0.104823151125,0.104801714898,0.106173633441,0.104523043944,0.100707395498,0.0888531618435,0.0768488745981,0.106966773848,0.249796355841,0.161972132905,0.130675241158,0.109239013934,0.0944694533762,0.0774062165059,0.0612647374062,0.0477384780279,0.0372132904609,0.0302250803859,0.262293676313,0.26115755627,0.0779421221865,0.110332261522,0.0593354769561,0.177170418006,0.0179849946409,0.033783494105,2012
Lagos,0.0602620087336,0.0995633187773,0.113537117904,0.111790393013,0.12576419214,0.119650655022,0.108296943231,0.0951965065502,0.0733624454148,0.092576419214,0.237554585153,0.165065502183,0.13711790393,0.111790393013,0.0873362445415,0.0733624454148,0.0707423580786,0.0489082969432,0.0410480349345,0.0270742358079,0.244541484716,0.218340611354,0.0794759825328,0.141484716157,0.0733624454148,0.181659388646,0.0183406113537,0.0427947598253,2012
Tel Aviv,0.0861804643014,0.0904511607534,0.0951051248357,0.103975032852,0.106165133596,0.108081471748,0.106329391152,0.101346911958,0.0863447218572,0.116020586947,0.226949189663,0.174003504161,0.145586947,0.116458607096,0.0950503723171,0.075120455541,0.0591874726237,0.0430902321507,0.0358628996934,0.0286903197547,0.214575120456,0.286684187473,0.0767630310994,0.111092860272,0.0719448094612,0.1938239159,0.0159877354358,0.0291283399036,2012
Asuncion,0.107374050099,0.100197016606,0.107374050099,0.105544610189,0.105826062482,0.107796228539,0.0999155643118,0.0923163523783,0.0744441317197,0.0992119335773,0.254714325922,0.174359696032,0.137348719392,0.111595834506,0.100056290459,0.0728961441036,0.0593864339994,0.0382775119617,0.0302561215874,0.0211089220377,0.250492541514,0.254714325922,0.0819026175063,0.110470025331,0.0759921193358,0.183929074022,0.0139318885449,0.0285674078244,2012
Manila,0.0844132886315,0.0913867723255,0.0929960377934,0.100359646449,0.107064919232,0.106833282536,0.106065224017,0.097019201463,0.0911551356294,0.122706491923,0.227893934776,0.153050899116,0.129960377934,0.11286802804,0.0967875647668,0.0829990856446,0.0687473331301,0.052508381591,0.0408899725693,0.0342944224322,0.249009448339,0.285291069796,0.0888021944529,0.110661383724,0.0657848217007,0.155281926242,0.0148857055776,0.0302834501676,2012
Brussels,0.0862708719852,0.106713392428,0.10767539339,0.109324537896,0.116195973339,0.106988249845,0.0995670995671,0.0865113722257,0.0798117226689,0.100941386656,0.220538720539,0.168040953755,0.137463066034,0.110664467807,0.100666529238,0.0772349343778,0.0610183467326,0.0477908335051,0.0403696832268,0.0362124647839,0.223940081083,0.299079227651,0.0839689411118,0.103586889301,0.0587851302137,0.175187246616,0.0184841613413,0.0369683226826,2012
Bangkok,0.0793898960484,0.0889734929406,0.0920884602991,0.097220398859,0.103760636838,0.103521942021,0.108283903615,0.104202222249,0.0953108403251,0.127248206805,0.228574156512,0.173543066512,0.139266490828,0.114525773073,0.0952989055843,0.0732196350356,0.0610223299001,0.0474286600866,0.0372005871892,0.0299203952786,0.237632624808,0.282972705248,0.0902266407285,0.108892575398,0.0642924488895,0.16580935445,0.0167444413945,0.0334292090847,2012
Amsterdam,0.0963018562204,0.106357376034,0.110539233207,0.113398622727,0.11293397193,0.106679057355,0.0945623942622,0.084757071032,0.0749040913098,0.0995663259227,0.22229370696,0.173803226345,0.137786832511,0.11138513594,0.0919889436939,0.0750351466629,0.0620368384683,0.0496938070389,0.0402816498678,0.0356947125122,0.220065765959,0.287332904425,0.0852693783211,0.10995544118,0.059499130269,0.186432196726,0.016691686325,0.0347534967951,2012
