,city,country,population,popkm12,popkm14,tweet_count_total,continent,dev,gni,twfirst6,twlast6,pctincrease,tw.2012-01,tw.2012-02,tw.2012-03,tw.2012-04,tw.2012-05,tw.2012-06,tw.2012-07,tw.2012-08,tw.2012-09,tw.2012-10,tw.2012-11,tw.2012-12,tw.2013-01,tw.2013-02,tw.2013-03,tw.2013-04,tw.2013-05,tw.2013-06,tw.2013-07,tw.2013-08,tw.2013-09,tw.2013-10,tw.2013-11,tw.2013-12,tw.2014-01,tw.2014-02,tw.2014-03,tw.2014-04,tw.2014-05,tw.2014-06,change
77,Tokyo,Japan,37843000," 4,300 "," 4,400 ",4129315,Asia,High income,36680,45988,327196,611.481256,6797,6216,7353,8767,8888,7967,9329,9842,11709,13487,14898,16502,15271,13348,18404,17129,20008,20451,22241,24658,25068,26629,32398,45227,40613,40234,55255,59234,67543,64317,7.11481256
37,Jakarta,Indonesia,30539000," 9,400 "," 9,600 ",4539924,Asia,Lower middle income,3440,7583,317725,4089.964394,835,855,829,1049,1553,2462,3169,3647,4596,6106,6989,10310,12239,13225,14882,17261,22228,25303,30326,33501,33960,36131,37117,56250,52672,45224,51210,52293,57423,58903,41.89964394
51,Manila,Philippines,24123000," 15,400 "," 14,400 ",2069500,Asia,Lower middle income,3550,16075,234470,1358.600311,2002,2332,2481,2354,2955,3951,5321,6230,6035,6273,6719,9009,9279,9096,8986,9273,13097,13298,15136,19798,19006,20997,23916,44694,45648,28856,39121,36402,43627,40816,14.58600311
70,Seoul,South Korea,23480000," 11,500 "," 10,100 ",835105,Asia,High income,27450,15647,76330,387.8251422,2422,2214,2375,2930,3047,2659,3170,3305,3193,4037,4721,5507,4711,4287,4685,4969,5546,5932,5393,6496,7047,7449,8043,15726,12472,6990,12611,12479,16066,15712,4.878251422
39,Karachi,Pakistan,22123000," 18,300 "," 22,800 ",62607,Asia,Lower middle income,1440,172,8148,4637.209302,22,21,27,23,36,43,63,89,53,80,93,127,106,106,108,124,239,200,295,238,259,348,491,1261,1305,988,862,1161,1612,2220,47.37209302
12,Beijing,China,21009000," 5,000 "," 5,100 ",39182,Asia,Upper middle income,7930,804,4383,445.1492537,78,112,110,148,186,170,149,144,232,516,407,366,452,330,491,545,459,286,267,381,403,409,404,436,363,426,793,1040,949,812,5.451492537
53,Mexico City,Mexico,20063000," 9,500 "," 9,800 ",2061315,North America,Upper middle income,9710,25566,233427,813.0368458,2833,3127,3770,4307,5388,6141,7280,7025,8045,9608,10222,11517,12121,10877,12937,13594,14104,17233,18083,18478,19103,21021,24564,29694,28669,28077,37505,40594,45497,53085,9.130368458
57,Mumbai,India,17712000," 30,900 "," 32,300 ",107346,Asia,Lower middle income,1600,1007,22106,2095.233366,145,175,127,139,200,221,313,469,477,560,541,643,872,633,777,763,890,904,919,1068,1247,1516,1866,4047,4117,2439,3507,3596,4352,4095,21.95233366
56,Moscow,Russia,16170000," 3,500 "," 3,400 ",1541119,Europe,Upper middle income,11450,48937,93243,90.53681264,5463,6840,8081,9040,10510,9003,7683,6959,9142,9707,9871,9571,7686,7362,8033,8248,9051,9239,8066,9056,10667,11164,11629,13236,11539,12395,16127,17967,17949,17266,1.905368126
28,Dhaka,Bangladesh,15669000," 44,400 "," 44,000 ",15565,Asia,Lower middle income,1190,322,2868,790.6832298,42,43,33,74,61,69,89,80,120,114,66,134,108,120,126,86,138,146,154,197,150,225,231,339,283,386,402,451,539,807,8.906832298
21,Cairo,Egypt,15600000," 10,400 "," 8,898 ",381958,Africa,Lower middle income,3340,3689,58280,1479.831933,459,318,339,617,772,1184,568,732,879,1286,2256,2152,2075,4212,1531,1656,2183,2268,2828,3142,3725,4592,6127,13572,10997,7830,7326,8180,12299,11648,15.79831933
48,Los Angeles,United States,15058000," 2,400 "," 2,400 ",4006168,North America,High income,55980,13844,146112,955.4175094,2110,1928,2282,2378,2204,2942,2288,3016,3258,4030,4855,4980,5511,4939,6121,6510,7293,9283,9621,10254,9911,11011,13720,17814,20721,19883,24124,26010,25277,30097,10.55417509
10,Bangkok,Thailand,14998000," 3,200 "," 6,100 ",2061050,Asia,Upper middle income,5720,14041,214201,1425.539491,1857,1803,1973,2288,2804,3316,3916,3721,4221,5504,5596,6312,5785,5190,7190,6929,8378,10057,11483,12550,13907,17661,22434,38508,34829,23847,35571,38573,40437,40944,15.25539491
20,Buenos Aires,Argentina,14122000," 5,200 "," 5,300 ",2034166,South America,Upper middle income,12460,7362,190982,2494.159196,917,1033,1219,1317,1258,1618,2008,3000,3723,4875,5298,5592,4698,5264,6647,7401,8396,8776,9243,9317,13172,15029,18237,33029,26341,23985,27397,30358,38172,44729,25.94159196
36,Istanbul,Turkey,13287000," 9,700 "," 9,800 ",3113482,Asia,Upper middle income,9950,25956,331090,1175.581754,2648,2806,3371,4688,5781,6662,7157,7593,8734,11190,12410,14015,13249,10791,13199,13425,17828,27514,17553,16447,19598,21487,25452,41644,41578,38037,57007,65068,65261,64139,12.75581754
44,Lagos,Nigeria,13123000," 12,700 "," 13,800 ",191296,Africa,Lower middle income,2820,276,16567,5902.536232,12,4,14,47,114,85,301,1064,1109,1191,980,1137,1673,2088,2046,1539,1453,1276,1906,2055,2690,2321,2818,4348,3588,1905,2123,2509,2982,3460,60.02536232
63,Rio de Janeiro,Brazil,11727000," 6,000 "," 5,800 ",1121630,South America,Upper middle income,9850,4524,56463,1148.076923,745,964,709,551,642,913,785,966,1153,1208,1288,1834,1961,1883,2052,2003,2277,2677,3447,3130,3324,3321,5084,6878,6932,6906,8649,8056,11660,14260,12.48076923
60,Paris,France,10858000," 3,800 "," 3,900 ",1609175,Europe,High income,40540,33431,248141,642.2482127,3858,4142,5721,5630,6386,7694,7421,6274,9143,11423,12287,14526,16324,11753,14082,15281,15609,21512,20875,17552,21155,23161,25763,34998,36845,35433,45452,40540,41563,48308,7.422482127
45,Lima,Peru,10750000," 14,100 "," 14,920 ",425383,South America,Upper middle income,6130,3031,66078,2080.072583,393,374,475,527,580,682,873,1155,1521,1635,1762,2283,2223,2354,2816,2800,2812,3002,3333,3171,4418,4545,5566,10499,10713,7210,9863,11998,12312,13982,21.80072583
47,London,United Kingdom,10236000," 5,300 "," 5,800 ",3435878,Europe,High income,43390,73225,495372,576.5066576,8602,10676,11442,11470,14699,16336,20800,20509,19375,21645,23205,22977,23447,21206,23924,26336,30870,34461,38458,39771,40740,44150,52986,62493,65762,72191,85471,84723,90246,96979,6.765066576
16,Bogota,Colombia,8991000," 21,000 "," 19,778 ",859840,South America,Upper middle income,7140,7887,189603,2303.993914,722,1043,1132,1303,1665,2022,2578,3120,4103,6184,6110,7731,8158,7513,9268,9857,9882,10636,11420,12173,13465,14290,17872,31898,31032,22852,27109,27501,38289,42820,24.03993914
35,Ho Chi Minh City,Vietnam,8957000," 9,900 "," 10,726 ",52757,Asia,Lower middle income,1990,403,3907,869.4789082,75,56,89,46,58,79,77,133,107,95,122,263,172,120,269,159,161,421,295,281,229,518,455,1033,853,288,753,510,595,908,9.694789082
75,Taipei,Taiwan,7438000," 7,300 "," 6,400 ",132059,Asia,High income,NA,4473,21784,387.0109546,615,699,722,652,832,953,900,1025,980,1193,1395,1578,1337,1101,1564,1464,1633,1750,1420,1575,1941,2387,2320,3784,4318,2590,3853,3255,3393,4375,4.870109546
42,Kuala Lumpur,Malaysia,7088000," 2,900 "," 3,400 ",1346430,Asia,Upper middle income,10570,9838,117447,1093.809717,1334,1294,1434,1598,1813,2365,2640,3136,3379,4300,4876,5965,6044,5944,6115,5579,6789,7466,7540,7033,7695,8208,9794,16273,16200,14774,20919,20679,21828,23047,11.93809717
8,Baghdad,Iraq,6625000," 10,400 "," 9,700 ",137492,Asia,Upper middle income,5820,169,20622,12102.36686,20,9,25,20,48,47,84,170,103,96,144,126,196,269,279,273,1024,747,1149,1057,1166,1234,2139,3274,2931,2102,3848,4375,4593,2773,122.0236686
78,Toronto,Canada,6456000," 13,700 "," 14,131 ",701227,North America,High income,47540,17805,110431,520.224656,2016,2360,3117,2954,3427,3931,4247,4425,5394,5092,5841,5159,5577,4927,5804,5778,7006,8876,8774,8487,9245,9501,11040,12137,12431,13654,19101,19227,20985,25033,6.20224656
68,Santiago,Chile,6225000," 6,500 "," 6,300 ",867557,South America,High income,14100,18095,125892,595.7281017,2284,2100,3038,3172,3471,4030,3798,4548,4986,6222,6527,6040,6604,4054,6687,6691,7392,7551,7970,8505,8244,10629,15123,17088,17770,14863,21541,23968,21598,26152,6.957281017
49,Luanda,Angola,5899000," 10,600 "," 11,492 ",15294,Africa,Upper middle income,4180,115,1811,1474.782609,23,12,7,21,17,35,31,25,35,83,50,53,87,70,87,58,45,80,30,128,81,111,129,209,355,294,234,229,391,308,15.74782609
71,Singapore,Singapore,5624000," 11,100 "," 10,500 ",587365,Asia,High income,52090,13879,87681,531.7530081,2331,2125,2141,2230,2638,2414,2625,2746,2721,3617,3713,4112,4229,3866,4284,5122,5061,4899,4008,3391,3713,4569,5505,8688,9559,8869,11154,16366,20717,21016,6.317530081
40,Khartoum,Sudan,5125000," 4,500 "," 5,400 ",26212,Africa,Lower middle income,1920,24,1922,7908.333333,1,NA,2,5,6,10,9,7,20,37,24,36,27,81,25,75,181,275,219,145,128,202,293,390,376,264,247,257,239,539,80.08333333
1,Abidjan,Ivory Coast,4800000," 13,500 "," 14,700 ",31899,Africa,Lower middle income,1420,125,7507,5905.6,8,13,6,30,22,46,63,109,110,77,81,140,269,279,249,321,407,735,630,1068,950,722,837,1808,1667,944,1064,1068,1146,1618,60.056
58,Nairobi,Kenya,4738000," 7,500 "," 8,400 ",93157,Africa,Lower middle income,1340,845,23801,2716.686391,97,98,133,124,163,230,322,441,461,691,850,841,963,1122,1234,1402,1310,1208,1669,1744,1723,1759,2294,4342,4032,2707,3324,3568,4448,5722,28.16686391
11,Barcelona,Spain,4693000," 5,300 "," 5,798 ",635972,Europe,High income,28530,26974,157608,484.2959887,3010,4515,4653,4514,4966,5316,6510,5984,7360,9010,9992,9953,9015,9285,9962,10978,12634,15104,13186,11642,13864,15570,15540,18974,18659,23912,25561,27073,31004,31399,5.842959887
43,Kuwait City,Kuwait,4283000," 4,400 "," 5,518 ",803878,Asia,High income,42150,7827,73222,835.5053022,1263,1192,1164,1228,1445,1535,1868,1755,2318,3375,3474,2853,2568,2485,1924,2563,2988,3384,3634,3553,5233,5498,7606,12848,11240,7074,10118,13310,16666,14814,9.355053022
27,Dar es Salaam,Tanzania,4219000," 7,100 "," 6,900 ",25626,Africa,Low income,920,79,5334,6651.898734,4,7,14,12,13,29,29,39,43,94,104,83,84,102,187,134,187,167,192,207,299,289,338,774,816,496,991,850,969,1212,67.51898734
2,Accra,Ghana,4145000," 4,100 "," 4,300 ",92724,Africa,Lower middle income,1480,446,15583,3393.946188,32,43,63,76,105,127,230,330,562,349,378,638,867,598,795,754,608,623,792,934,893,884,1528,3338,2878,1960,1860,2580,2806,3499,34.93946188
15,Berlin,Germany,4069000," 3,500 "," 3,000 ",200676,Europe,High income,45940,8340,57104,584.7002398,1032,1123,1233,1083,2022,1847,1798,2009,2075,2088,2000,2075,2417,1996,2667,2573,4127,4876,4737,3735,3656,3699,5860,6445,6279,7033,8227,9605,13214,12746,6.847002398
74,Sydney,Australia,4036000," 2,100 "," 2,000 ",328859,Australia,High income,60070,14824,58565,295.0688073,2309,2347,2594,2484,2515,2575,2752,3001,3185,3651,4068,4101,4230,2943,3931,3604,4099,4036,4569,5414,5674,6554,6456,8131,9471,8081,10590,9608,10718,10097,3.950688073
30,Dubai,United Arab Emirates,3933000," 2,600 "," 2,500 ",502925,Asia,High income,43090,3704,36301,880.0485961,492,523,625,598,690,776,882,1909,1261,2407,2684,2693,2388,1774,2199,2533,2947,2507,2292,2743,2674,2905,3640,5539,5763,4364,5363,6612,7624,6575,9.800485961
64,Rome,Italy,3906000," 3,400 "," 3,400 ",388576,Europe,High income,32810,16623,105065,532.0459604,2100,2782,2951,2979,3018,2793,2851,2009,3301,4125,4084,4583,4204,3959,5314,4967,5810,6857,6754,5037,6869,8082,11963,12782,12554,14879,18797,19261,20240,19334,6.320459604
22,Cape Town,South Africa,3812000," 5,000 "," 4,500 ",132768,Africa,Upper middle income,6080,2416,34790,1339.983444,282,276,394,493,480,491,575,672,740,988,1136,1236,1262,1292,1435,1273,1734,1923,1760,1600,1985,2368,2577,4718,4616,5408,6185,5947,6935,5699,14.39983444
7,Athens,Greece,3484000," 4,800 "," 5,139 ",92694,Europe,High income,20320,4097,19695,380.7175982,548,675,670,671,737,796,623,689,962,1146,1064,1270,1348,1272,792,986,1125,1263,1396,1423,1527,1655,2492,2643,2504,2414,3213,3386,4029,4149,4.807175982
24,Casablanca,Morocco,3211000," 14,000 "," 14,336 ",23141,Africa,Lower middle income,3030,338,8595,2442.899408,58,57,37,44,74,68,102,218,180,221,241,375,401,428,228,326,304,391,731,903,501,577,931,932,1129,1216,1166,1833,1627,1624,25.42899408
76,Tel Aviv,Israel,2979000," 7,100 "," 6,000 ",138756,Asia,High income,35770,2816,13811,390.4474432,418,479,482,368,500,569,554,562,431,564,737,767,757,673,574,698,752,1084,1447,1478,1039,1250,1532,2261,2116,1923,2228,2463,2502,2579,4.904474432
69,Santo Domingo,Dominican Republic,2925000," 9,000 "," 9,300 ",396815,North America,Upper middle income,6240,2965,95433,3118.650927,449,338,341,384,594,859,1255,2128,2583,3846,3912,4563,5219,5038,6465,7007,8109,8763,10280,9632,9550,10796,12985,21748,21716,13682,13153,13436,15113,18333,32.18650927
23,Caracas,Venezuela,2861000," 11,900 "," 9,900 ",453210,South America,Upper middle income,11780,2420,146485,5953.099174,237,319,310,372,549,633,1248,2357,3585,4277,4711,3863,4864,5499,6998,10209,7667,8174,8617,8175,9530,11266,13543,23281,21623,25909,33901,23029,20139,21884,60.53099174
6,Asuncion,Paraguay,2827000," 3,900 "," 4,200 ",403992,South America,Upper middle income,4190,1283,60345,4603.429462,96,158,190,195,216,428,652,880,1376,1880,2076,2620,2503,3136,3366,3636,3812,3807,4215,3613,3993,5390,5990,8303,8095,7384,7663,9350,13099,14754,47.03429462
33,Guayaquil,Ecuador,2700000," 10,600 "," 11,000 ",444657,South America,Upper middle income,6030,4523,120742,2569.511386,331,474,553,752,971,1442,2503,3925,4682,5677,6273,7547,9105,9386,10167,9940,10178,10853,11075,10814,11673,14562,15937,28235,26472,15759,16451,17468,19987,24605,26.69511386
46,Lisbon,Portugal,2666000," 3,200 "," 2,800 ",128254,Europe,High income,20530,2172,24295,1018.554328,328,277,445,338,372,412,436,552,769,934,842,755,709,693,988,1210,1181,1183,1688,1573,1602,1533,2100,2534,3206,2644,3769,3978,5775,4923,11.18554328
9,Baku,Azerbaijan,2661000," 7,000 "," 7,100 ",56284,Asia,Upper middle income,6560,1312,14124,976.5243902,222,213,228,145,294,210,455,314,478,517,421,590,799,535,707,778,827,877,583,634,634,1100,1269,2491,2680,1973,2368,2092,2319,2692,10.7652439
26,Damascus,Syria,2560000," 12,300 "," 12,900 ",13998,Asia,Lower middle income,1860,287,6364,2117.421603,11,31,77,53,75,40,68,133,60,103,89,187,249,138,159,129,338,470,361,428,454,594,722,1218,1449,780,699,1359,1132,945,22.17421603
