actors,city,tweets,year,pop,country,lon,lat,latflight
3456,Dublin,11947,2012,1128,Ireland,-6.2603097,53.3498053,0
4737,Amsterdam,12873,2012,1050,Netherlands,4.8951679,52.3702157,0
1691,Copenhagen,5833,2012,1181,Denmark,12.5683371,55.6760968,0
2843,Berlin,8190,2012,3453,Germany,13.404954,52.5200066,0
4334,Stockholm,17501,2012,1288,Sweden,18.0685808,59.3293235,0
547,Warsaw,1574,2012,1713,Poland,21.0122287,52.2296756,0
881,Helsinki,2628,2012,1131,Finland,24.938379,60.1698557,0
706,Minsk,3785,2012,1856,Belarus,27.5615244,53.9045398,0
9164,Moscow,41568,2012,15512,Russia,37.6173,55.755826,0
22713,London,70221,2012,8586,England,-0.1277583,51.5073509,1
9374,Paris,30736,2012,10755,France,2.3522219,48.856614,1
1646,Brussels,4430,2012,1929,Belgium,4.3517103,50.8503396,1
1401,Prague,4313,2012,1265,Czech Republic,14.4378005,50.0755381,1
1297,Vienna,4000,2012,1724,Austria,16.3738189,48.2081743,1
913,Budapest,2626,2012,1727,Hungary,19.040235,47.497912,1
599,Belgrade,1817,2012,1098,Serbia,20.4489216,44.786568,1
1584,Kiev,6189,2012,2812,Ukraine,30.5234,50.4501,1
136,Ulan Bator,619,2012,1077,Mongolia,106.9057439,47.8863988,1
5166,Toronto,16831,2012,6139,Canada,-79.3831843,43.653226,2
8103,Barcelona,26241,2012,4223,Spain,2.1734035,41.3850639,2
4941,Rome,16022,2012,3799,Italy,12.4963655,41.9027835,2
222,Sofia,589,2012,1180,Bulgaria,23.3218675,42.6977082,2
363,Bucharest,1073,2012,1931,Romania,26.1025384,44.4267674,2
6381,Istanbul,19885,2012,13576,Turkey,28.9783589,41.0082376,2
260,Baku,1130,2012,2095,Azerbaijan,49.8670924,40.4092617,2
228,Almaty,1039,2012,1403,Kazakhstan,76.8512485,43.2220146,2
325,Beijing,721,2012,17311,China,116.407395,39.904211,2
5288,Los Angeles,12336,2012,14900,United States,-118.2436849,34.0522342,3
756,Lisbon,2022,2012,3051,Portugal,-9.1393366,38.7222524,3
151,Casablanca,298,2012,3083,Morocco,-7.5898434,33.5731104,3
1309,Athens,3984,2012,3269,Greece,23.7293599,37.983917,3
625,Beirut,2238,2012,2016,Lebanon,35.4954794,33.8886289,3
50,Damascus,301,2012,2691,Syria,36.2765279,33.5138073,3
57,Baghdad,183,2012,6204,Iraq,44.3614875,33.3128057,3
4822,Seoul,14044,2012,22547,South Korea,126.9779692,37.566535,3
12516,Tokyo,41738,2012,37126,Japan,139.7319925,35.7090259,3
744,Cairo,3611,2012,17816,Egypt,31.2357116,30.0444196,4
860,Tel Aviv,2813,2012,3387,Israel,34.7817676,32.0852999,4
215,Amman,502,2012,2594,Jordan,35.9456951,31.9565783,4
1824,Kuwait City,7195,2012,2394,Kuwait,47.9774052,29.375859,4
617,Manama,1856,2012,525,Bahrain,50.5860497,26.2285161,4
847,Doha,2827,2012,600,Qatar,51.5310398,25.2854473,4
1240,Dubai,3243,2012,3244,United Arab Emirates,55.2707828,25.2048493,4
62,Karachi,151,2012,14198,Pakistan,67.0099388,24.8614622,4
